symptoms_description,disease
"Since yesterday, I have noticed frequent urination, fatigue, and weight loss.",Diabetes
"Lately, fatigue has started along with frequent urination and increased thirst.",Diabetes
I have been experiencing weight loss and frequent urination recently.,Diabetes
I have been experiencing increased thirst and frequent urination recently.,Diabetes
I have frequent urination and also increased thirst.,Diabetes
"Lately, weight loss has started along with frequent urination and increased thirst.",Diabetes
"Lately, frequent urination has started along with weight loss and fatigue.",Diabetes
My frequent urination and fatigue are bothering me a lot.,Diabetes
My fatigue and increased thirst are bothering me a lot.,Diabetes
I have frequent urination and also weight loss.,Diabetes
I have weight loss and also frequent urination.,Diabetes
"Lately, frequent urination has started along with fatigue and increased thirst.",Diabetes
I have fatigue and also increased thirst.,Diabetes
I have been experiencing fatigue and frequent urination recently.,Diabetes
"Lately, increased thirst has started along with fatigue and weight loss.",Diabetes
"Since yesterday, I have noticed increased thirst, weight loss, and frequent urination.",Diabetes
My weight loss and increased thirst are bothering me a lot.,Diabetes
I have been experiencing frequent urination and weight loss recently.,Diabetes
I have been experiencing weight loss and fatigue recently.,Diabetes
There is weight loss and it feels like increased thirst.,Diabetes
There is weight loss and it feels like fatigue.,Diabetes
"I feel weight loss, increased thirst, and sometimes even fatigue.",Diabetes
There is frequent urination and it feels like fatigue.,Diabetes
My frequent urination and fatigue are bothering me a lot.,Diabetes
My frequent urination and increased thirst are bothering me a lot.,Diabetes
I have fatigue and also increased thirst.,Diabetes
My fatigue and frequent urination are bothering me a lot.,Diabetes
"I feel weight loss, increased thirst, and sometimes even frequent urination.",Diabetes
I have fatigue and also increased thirst.,Diabetes
"Since yesterday, I have noticed increased thirst, weight loss, and frequent urination.",Diabetes
I have been experiencing weight loss and fatigue recently.,Diabetes
"Lately, increased thirst has started along with frequent urination and fatigue.",Diabetes
"Lately, weight loss has started along with frequent urination and increased thirst.",Diabetes
I have frequent urination and also fatigue.,Diabetes
My frequent urination and fatigue are bothering me a lot.,Diabetes
"Lately, increased thirst has started along with fatigue and weight loss.",Diabetes
I have been experiencing weight loss and fatigue recently.,Diabetes
I have frequent urination and also fatigue.,Diabetes
I have increased thirst and also weight loss.,Diabetes
"Lately, weight loss has started along with fatigue and frequent urination.",Diabetes
"Since yesterday, I have noticed fatigue, weight loss, and increased thirst.",Diabetes
"Lately, fatigue has started along with weight loss and frequent urination.",Diabetes
I have increased thirst and also fatigue.,Diabetes
"Lately, fatigue has started along with increased thirst and weight loss.",Diabetes
There is increased thirst and it feels like frequent urination.,Diabetes
There is weight loss and it feels like increased thirst.,Diabetes
"Since yesterday, I have noticed frequent urination, fatigue, and weight loss.",Diabetes
"I feel frequent urination, weight loss, and sometimes even fatigue.",Diabetes
"Lately, frequent urination has started along with weight loss and increased thirst.",Diabetes
There is frequent urination and it feels like fatigue.,Diabetes
"Lately, increased thirst has started along with weight loss and frequent urination.",Diabetes
"Lately, weight loss has started along with increased thirst and fatigue.",Diabetes
My frequent urination and weight loss are bothering me a lot.,Diabetes
I have been experiencing increased thirst and frequent urination recently.,Diabetes
"I feel fatigue, weight loss, and sometimes even frequent urination.",Diabetes
My increased thirst and weight loss are bothering me a lot.,Diabetes
I have been experiencing fatigue and weight loss recently.,Diabetes
My frequent urination and fatigue are bothering me a lot.,Diabetes
I have been experiencing increased thirst and fatigue recently.,Diabetes
My weight loss and fatigue are bothering me a lot.,Diabetes
"Since yesterday, I have noticed frequent urination, weight loss, and increased thirst.",Diabetes
There is weight loss and it feels like frequent urination.,Diabetes
My frequent urination and increased thirst are bothering me a lot.,Diabetes
I have fatigue and also increased thirst.,Diabetes
I have been experiencing weight loss and fatigue recently.,Diabetes
"I feel weight loss, fatigue, and sometimes even increased thirst.",Diabetes
"Lately, weight loss has started along with fatigue and increased thirst.",Diabetes
"Since yesterday, I have noticed frequent urination, fatigue, and increased thirst.",Diabetes
"Lately, increased thirst has started along with weight loss and frequent urination.",Diabetes
"Since yesterday, I have noticed weight loss, fatigue, and increased thirst.",Diabetes
My weight loss and fatigue are bothering me a lot.,Diabetes
I have weight loss and also increased thirst.,Diabetes
"Lately, fatigue has started along with increased thirst and frequent urination.",Diabetes
I have frequent urination and also fatigue.,Diabetes
"I feel frequent urination, weight loss, and sometimes even fatigue.",Diabetes
I have been experiencing increased thirst and frequent urination recently.,Diabetes
"Since yesterday, I have noticed weight loss, frequent urination, and increased thirst.",Diabetes
My frequent urination and fatigue are bothering me a lot.,Diabetes
There is weight loss and it feels like frequent urination.,Diabetes
"Since yesterday, I have noticed shortness of breath, fatigue, and chest pain.",Pneumonia
"I feel chest pain, fever, and sometimes even shortness of breath.",Pneumonia
I have been experiencing cough and fatigue recently.,Pneumonia
I have been experiencing shortness of breath and fatigue recently.,Pneumonia
"I feel fever, chest pain, and sometimes even fatigue.",Pneumonia
I have shortness of breath and also cough.,Pneumonia
"Lately, cough has started along with fatigue and shortness of breath.",Pneumonia
I have been experiencing fatigue and cough recently.,Pneumonia
"Lately, cough has started along with fatigue and shortness of breath.",Pneumonia
I have fatigue and also shortness of breath.,Pneumonia
I have been experiencing fever and shortness of breath recently.,Pneumonia
"Lately, fever has started along with cough and chest pain.",Pneumonia
My fatigue and cough are bothering me a lot.,Pneumonia
I have chest pain and also shortness of breath.,Pneumonia
"I feel shortness of breath, fatigue, and sometimes even chest pain.",Pneumonia
I have shortness of breath and also cough.,Pneumonia
"I feel fever, chest pain, and sometimes even fatigue.",Pneumonia
"Since yesterday, I have noticed fatigue, cough, and shortness of breath.",Pneumonia
"Lately, cough has started along with shortness of breath and fever.",Pneumonia
I have cough and also shortness of breath.,Pneumonia
"Since yesterday, I have noticed chest pain, cough, and fever.",Pneumonia
"I feel shortness of breath, cough, and sometimes even chest pain.",Pneumonia
My cough and fever are bothering me a lot.,Pneumonia
"I feel chest pain, fever, and sometimes even fatigue.",Pneumonia
My fatigue and chest pain are bothering me a lot.,Pneumonia
My fever and cough are bothering me a lot.,Pneumonia
"Lately, cough has started along with shortness of breath and chest pain.",Pneumonia
"I feel fever, fatigue, and sometimes even chest pain.",Pneumonia
"I feel shortness of breath, chest pain, and sometimes even cough.",Pneumonia
I have been experiencing chest pain and fatigue recently.,Pneumonia
"Lately, shortness of breath has started along with fatigue and chest pain.",Pneumonia
There is cough and it feels like chest pain.,Pneumonia
My fever and fatigue are bothering me a lot.,Pneumonia
"Since yesterday, I have noticed cough, shortness of breath, and fever.",Pneumonia
I have fever and also cough.,Pneumonia
"Lately, shortness of breath has started along with chest pain and fatigue.",Pneumonia
My fatigue and fever are bothering me a lot.,Pneumonia
I have been experiencing fatigue and chest pain recently.,Pneumonia
"Lately, shortness of breath has started along with fatigue and chest pain.",Pneumonia
"I feel shortness of breath, fatigue, and sometimes even cough.",Pneumonia
I have fatigue and also shortness of breath.,Pneumonia
There is fatigue and it feels like cough.,Pneumonia
"Lately, shortness of breath has started along with fever and fatigue.",Pneumonia
There is fatigue and it feels like cough.,Pneumonia
I have been experiencing chest pain and fever recently.,Pneumonia
I have been experiencing chest pain and fever recently.,Pneumonia
"Since yesterday, I have noticed cough, chest pain, and shortness of breath.",Pneumonia
I have been experiencing fever and cough recently.,Pneumonia
I have fever and also chest pain.,Pneumonia
My cough and fatigue are bothering me a lot.,Pneumonia
"Lately, shortness of breath has started along with chest pain and fever.",Pneumonia
My shortness of breath and chest pain are bothering me a lot.,Pneumonia
"Since yesterday, I have noticed fever, cough, and chest pain.",Pneumonia
There is chest pain and it feels like shortness of breath.,Pneumonia
"Since yesterday, I have noticed fatigue, chest pain, and fever.",Pneumonia
There is fatigue and it feels like shortness of breath.,Pneumonia
I have been experiencing chest pain and fever recently.,Pneumonia
I have chest pain and also fever.,Pneumonia
"Lately, chest pain has started along with fatigue and cough.",Pneumonia
I have been experiencing cough and shortness of breath recently.,Pneumonia
I have chest pain and also fever.,Pneumonia
My fatigue and cough are bothering me a lot.,Pneumonia
My chest pain and shortness of breath are bothering me a lot.,Pneumonia
There is fever and it feels like fatigue.,Pneumonia
My fever and chest pain are bothering me a lot.,Pneumonia
I have fever and also cough.,Pneumonia
I have cough and also chest pain.,Pneumonia
"Since yesterday, I have noticed fatigue, cough, and chest pain.",Pneumonia
"Since yesterday, I have noticed shortness of breath, cough, and fatigue.",Pneumonia
I have fatigue and also chest pain.,Pneumonia
"Lately, chest pain has started along with fatigue and fever.",Pneumonia
My chest pain and cough are bothering me a lot.,Pneumonia
I have fever and also shortness of breath.,Pneumonia
My fatigue and shortness of breath are bothering me a lot.,Pneumonia
My fever and shortness of breath are bothering me a lot.,Pneumonia
"Lately, shortness of breath has started along with fever and cough.",Pneumonia
I have been experiencing cough and chest pain recently.,Pneumonia
I have fever and also shortness of breath.,Pneumonia
"Since yesterday, I have noticed fatigue, shortness of breath, and chest pain.",Pneumonia
I have shortness of breath and also cough.,Pneumonia
There is cough and it feels like shortness of breath.,Pneumonia
"Lately, cough has started along with fatigue and fever.",Pneumonia
"Lately, shortness of breath has started along with chest pain and fever.",Pneumonia
I have shortness of breath and also fever.,Pneumonia
There is chest pain and it feels like fever.,Pneumonia
I have cough and also shortness of breath.,Pneumonia
"I feel fever, cough, and sometimes even fatigue.",Pneumonia
There is cough and it feels like fever.,Pneumonia
I have cough and also fatigue.,Pneumonia
"Since yesterday, I have noticed chest pain, fatigue, and fever.",Pneumonia
I have been experiencing cough and chest pain recently.,Pneumonia
There is shortness of breath and it feels like chest pain.,Pneumonia
"Since yesterday, I have noticed cough, shortness of breath, and fever.",Pneumonia
I have been experiencing cough and shortness of breath recently.,Pneumonia
"Since yesterday, I have noticed shortness of breath, cough, and chest pain.",Pneumonia
I have chest pain and also cough.,Pneumonia
"Lately, fatigue has started along with cough and fever.",Pneumonia
There is shortness of breath and it feels like cough.,Pneumonia
"I feel shortness of breath, cough, and sometimes even fatigue.",Pneumonia
"Since yesterday, I have noticed shortness of breath, cough, and fever.",Pneumonia
There is fatigue and it feels like shortness of breath.,Pneumonia
I have been experiencing cough and fever recently.,Pneumonia
"I feel cough, fatigue, and sometimes even chest pain.",Pneumonia
I have been experiencing cough and chest pain recently.,Pneumonia
My shortness of breath and fatigue are bothering me a lot.,Pneumonia
I have been experiencing fever and shortness of breath recently.,Pneumonia
"Since yesterday, I have noticed cough, fatigue, and fever.",Pneumonia
My cough and chest pain are bothering me a lot.,Pneumonia
I have fever and also chest pain.,Pneumonia
I have shortness of breath and also chest pain.,Pneumonia
I have been experiencing cough and chest pain recently.,Pneumonia
My cough and fatigue are bothering me a lot.,Pneumonia
"Since yesterday, I have noticed fatigue, fever, and chest pain.",Pneumonia
There is shortness of breath and it feels like fever.,Pneumonia
"I feel fatigue, chest pain, and sometimes even cough.",Pneumonia
"I feel shortness of breath, cough, and sometimes even fever.",Pneumonia
There is chest pain and it feels like fever.,Pneumonia
My cough and fever are bothering me a lot.,Pneumonia
There is chest pain and it feels like cough.,Pneumonia
My cough and chest pain are bothering me a lot.,Pneumonia
"I feel fatigue, shortness of breath, and sometimes even fever.",Pneumonia
I have cough and also chest pain.,Pneumonia
"Lately, fever has started along with shortness of breath and cough.",Pneumonia
I have fatigue and also chest pain.,Pneumonia
"I feel chest pain, cough, and sometimes even fever.",Pneumonia
"I feel fatigue, cough, and sometimes even chest pain.",Pneumonia
There is fatigue and it feels like chest pain.,Pneumonia
"Lately, fatigue has started along with fever and cough.",Pneumonia
My shortness of breath and chest pain are bothering me a lot.,Pneumonia
"I feel shortness of breath, cough, and sometimes even fatigue.",Pneumonia
My chest pain and fever are bothering me a lot.,Pneumonia
I have been experiencing chest pain and shortness of breath recently.,Pneumonia
"I feel chest pain, fatigue, and sometimes even fever.",Pneumonia
"Lately, fatigue has started along with fever and chest pain.",Pneumonia
"I feel fatigue, cough, and sometimes even shortness of breath.",Pneumonia
"I feel fatigue, shortness of breath, and sometimes even chest pain.",Pneumonia
"Lately, chest pain has started along with cough and fever.",Pneumonia
My fever and fatigue are bothering me a lot.,Pneumonia
"I feel shortness of breath, cough, and sometimes even fatigue.",Pneumonia
"Lately, shortness of breath has started along with fever and fatigue.",Pneumonia
"Lately, cough has started along with fatigue and chest pain.",Pneumonia
"I feel fever, shortness of breath, and sometimes even chest pain.",Pneumonia
"I feel fatigue, cough, and sometimes even fever.",Pneumonia
"Since yesterday, I have noticed cough, fatigue, and chest pain.",Pneumonia
I have fever and also cough.,Pneumonia
There is fatigue and it feels like cough.,Pneumonia
There is cough and it feels like shortness of breath.,Pneumonia
"Lately, fatigue has started along with fever and cough.",Pneumonia
"I feel fatigue, cough, and sometimes even shortness of breath.",Pneumonia
There is shortness of breath and it feels like cough.,Pneumonia
My nausea and headache are bothering me a lot.,Dengue
There is nausea and it feels like skin rash.,Dengue
"Lately, nausea has started along with skin rash and joint pain.",Dengue
There is joint pain and it feels like fever.,Dengue
I have been experiencing headache and fever recently.,Dengue
I have been experiencing headache and joint pain recently.,Dengue
I have been experiencing joint pain and nausea recently.,Dengue
I have fever and also joint pain.,Dengue
I have joint pain and also nausea.,Dengue
"Lately, skin rash has started along with joint pain and fever.",Dengue
"Lately, headache has started along with skin rash and joint pain.",Dengue
"Since yesterday, I have noticed joint pain, skin rash, and headache.",Dengue
I have fever and also skin rash.,Dengue
"Since yesterday, I have noticed joint pain, skin rash, and headache.",Dengue
My nausea and skin rash are bothering me a lot.,Dengue
My skin rash and joint pain are bothering me a lot.,Dengue
"Since yesterday, I have noticed nausea, headache, and joint pain.",Dengue
I have fever and also skin rash.,Dengue
There is nausea and it feels like skin rash.,Dengue
"Lately, fever has started along with headache and nausea.",Dengue
I have been experiencing nausea and headache recently.,Dengue
"I feel fever, skin rash, and sometimes even joint pain.",Dengue
"I feel joint pain, headache, and sometimes even fever.",Dengue
There is skin rash and it feels like headache.,Dengue
I have been experiencing fever and skin rash recently.,Dengue
I have been experiencing headache and nausea recently.,Dengue
"I feel joint pain, skin rash, and sometimes even fever.",Dengue
"Lately, joint pain has started along with nausea and skin rash.",Dengue
I have nausea and also headache.,Dengue
"Since yesterday, I have noticed headache, joint pain, and skin rash.",Dengue
My headache and skin rash are bothering me a lot.,Dengue
"Since yesterday, I have noticed skin rash, fever, and headache.",Dengue
I have been experiencing fever and joint pain recently.,Dengue
"Lately, headache has started along with skin rash and fever.",Dengue
There is skin rash and it feels like headache.,Dengue
"Lately, headache has started along with nausea and skin rash.",Dengue
There is headache and it feels like nausea.,Dengue
I have headache and also nausea.,Dengue
"I feel fever, nausea, and sometimes even headache.",Dengue
I have been experiencing headache and fever recently.,Dengue
"Lately, nausea has started along with skin rash and fever.",Dengue
I have fever and also nausea.,Dengue
I have been experiencing fever and skin rash recently.,Dengue
"Since yesterday, I have noticed skin rash, headache, and joint pain.",Dengue
My skin rash and headache are bothering me a lot.,Dengue
"Lately, joint pain has started along with fever and headache.",Dengue
There is joint pain and it feels like headache.,Dengue
There is fever and it feels like headache.,Dengue
I have nausea and also joint pain.,Dengue
There is fever and it feels like skin rash.,Dengue
"I feel headache, joint pain, and sometimes even nausea.",Dengue
I have been experiencing nausea and fever recently.,Dengue
I have nausea and also joint pain.,Dengue
I have nausea and also joint pain.,Dengue
"Since yesterday, I have noticed skin rash, headache, and nausea.",Dengue
"I feel headache, skin rash, and sometimes even fever.",Dengue
I have been experiencing headache and nausea recently.,Dengue
I have been experiencing nausea and fever recently.,Dengue
"Since yesterday, I have noticed skin rash, joint pain, and headache.",Dengue
I have nausea and also skin rash.,Dengue
I have been experiencing nausea and skin rash recently.,Dengue
My headache and skin rash are bothering me a lot.,Dengue
I have headache and also fever.,Dengue
My skin rash and nausea are bothering me a lot.,Dengue
My fever and joint pain are bothering me a lot.,Dengue
"Lately, joint pain has started along with headache and nausea.",Dengue
I have headache and also nausea.,Dengue
I have skin rash and also fever.,Dengue
I have been experiencing headache and skin rash recently.,Dengue
"Lately, joint pain has started along with nausea and headache.",Dengue
I have been experiencing nausea and fever recently.,Dengue
I have been experiencing joint pain and headache recently.,Dengue
"Lately, nausea has started along with fever and headache.",Dengue
I have skin rash and also nausea.,Dengue
There is joint pain and it feels like headache.,Dengue
I have joint pain and also skin rash.,Dengue
There is joint pain and it feels like fever.,Dengue
My nausea and headache are bothering me a lot.,Dengue
My nausea and skin rash are bothering me a lot.,Dengue
"Lately, joint pain has started along with nausea and fever.",Dengue
There is joint pain and it feels like fever.,Dengue
My skin rash and nausea are bothering me a lot.,Dengue
My fever and nausea are bothering me a lot.,Dengue
"I feel joint pain, fever, and sometimes even headache.",Dengue
My joint pain and nausea are bothering me a lot.,Dengue
I have been experiencing joint pain and fever recently.,Dengue
"Since yesterday, I have noticed skin rash, fever, and joint pain.",Dengue
There is skin rash and it feels like nausea.,Dengue
My headache and skin rash are bothering me a lot.,Dengue
My nausea and fever are bothering me a lot.,Dengue
"I feel fever, headache, and sometimes even nausea.",Dengue
I have nausea and also skin rash.,Dengue
"Since yesterday, I have noticed nausea, headache, and joint pain.",Dengue
There is skin rash and it feels like headache.,Dengue
"I feel joint pain, nausea, and sometimes even skin rash.",Dengue
I have skin rash and also fever.,Dengue
"Since yesterday, I have noticed nausea, headache, and fever.",Dengue
"Lately, nausea has started along with joint pain and headache.",Dengue
I have fever and also nausea.,Dengue
"Since yesterday, I have noticed joint pain, skin rash, and headache.",Dengue
"Lately, joint pain has started along with skin rash and nausea.",Dengue
I have skin rash and also headache.,Dengue
"Lately, skin rash has started along with headache and joint pain.",Dengue
"Lately, joint pain has started along with skin rash and headache.",Dengue
There is skin rash and it feels like headache.,Dengue
There is skin rash and it feels like headache.,Dengue
"Since yesterday, I have noticed headache, nausea, and joint pain.",Dengue
"Since yesterday, I have noticed fever, nausea, and headache.",Dengue
My joint pain and headache are bothering me a lot.,Dengue
"I feel headache, fever, and sometimes even nausea.",Dengue
There is skin rash and it feels like fever.,Dengue
"I feel nausea, skin rash, and sometimes even headache.",Dengue
My skin rash and fever are bothering me a lot.,Dengue
There is skin rash and it feels like nausea.,Dengue
I have been experiencing skin rash and headache recently.,Dengue
There is fever and it feels like skin rash.,Dengue
My skin rash and nausea are bothering me a lot.,Dengue
I have been experiencing fever and headache recently.,Dengue
I have nausea and also fever.,Dengue
I have nausea and also fever.,Dengue
"I feel joint pain, headache, and sometimes even skin rash.",Dengue
I have joint pain and also headache.,Dengue
There is fever and it feels like nausea.,Dengue
I have headache and also skin rash.,Dengue
"Since yesterday, I have noticed nausea, joint pain, and fever.",Dengue
"Lately, headache has started along with skin rash and nausea.",Dengue
"I feel fever, skin rash, and sometimes even nausea.",Dengue
I have fever and also skin rash.,Dengue
There is headache and it feels like skin rash.,Dengue
"Since yesterday, I have noticed nausea, skin rash, and fever.",Dengue
My joint pain and nausea are bothering me a lot.,Dengue
"I feel headache, joint pain, and sometimes even skin rash.",Dengue
"I feel nausea, skin rash, and sometimes even fever.",Dengue
"Since yesterday, I have noticed skin rash, nausea, and joint pain.",Dengue
My nausea and joint pain are bothering me a lot.,Dengue
"Since yesterday, I have noticed skin rash, nausea, and joint pain.",Dengue
I have been experiencing headache and skin rash recently.,Dengue
I have been experiencing skin rash and headache recently.,Dengue
"I feel fever, nausea, and sometimes even skin rash.",Dengue
"I feel nausea, headache, and sometimes even fever.",Dengue
My fever and nausea are bothering me a lot.,Dengue
My nausea and skin rash are bothering me a lot.,Dengue
I have been experiencing fever and nausea recently.,Dengue
I have fever and also nausea.,Dengue
I have been experiencing nausea and skin rash recently.,Dengue
My skin rash and nausea are bothering me a lot.,Dengue
"Since yesterday, I have noticed skin rash, nausea, and headache.",Dengue
"Since yesterday, I have noticed joint pain, headache, and fever.",Dengue
I have been experiencing fever and headache recently.,Dengue
"I feel skin rash, nausea, and sometimes even joint pain.",Dengue
I have nausea and also chills.,Malaria
I have muscle pain and also fever.,Malaria
There is muscle pain and it feels like chills.,Malaria
I have been experiencing chills and nausea recently.,Malaria
My sweating and chills are bothering me a lot.,Malaria
"Lately, chills has started along with sweating and muscle pain.",Malaria
"Since yesterday, I have noticed chills, fever, and muscle pain.",Malaria
I have been experiencing nausea and fever recently.,Malaria
"Since yesterday, I have noticed nausea, muscle pain, and chills.",Malaria
I have been experiencing chills and muscle pain recently.,Malaria
I have been experiencing chills and muscle pain recently.,Malaria
I have been experiencing sweating and fever recently.,Malaria
"Lately, nausea has started along with muscle pain and fever.",Malaria
"Lately, sweating has started along with chills and fever.",Malaria
I have fever and also chills.,Malaria
"Lately, muscle pain has started along with nausea and sweating.",Malaria
"Since yesterday, I have noticed muscle pain, fever, and sweating.",Malaria
"Since yesterday, I have noticed fever, chills, and nausea.",Malaria
I have sweating and also muscle pain.,Malaria
There is chills and it feels like nausea.,Malaria
"Lately, sweating has started along with nausea and fever.",Malaria
There is fever and it feels like nausea.,Malaria
"Since yesterday, I have noticed sweating, nausea, and fever.",Malaria
There is muscle pain and it feels like chills.,Malaria
"Lately, nausea has started along with muscle pain and sweating.",Malaria
"I feel muscle pain, sweating, and sometimes even chills.",Malaria
There is fever and it feels like nausea.,Malaria
There is fever and it feels like nausea.,Malaria
"Since yesterday, I have noticed fever, nausea, and muscle pain.",Malaria
There is muscle pain and it feels like chills.,Malaria
My sweating and fever are bothering me a lot.,Malaria
There is fever and it feels like muscle pain.,Malaria
There is muscle pain and it feels like sweating.,Malaria
There is sweating and it feels like muscle pain.,Malaria
"Lately, muscle pain has started along with nausea and chills.",Malaria
I have been experiencing muscle pain and nausea recently.,Malaria
I have been experiencing chills and fever recently.,Malaria
"Lately, sweating has started along with nausea and fever.",Malaria
I have fever and also muscle pain.,Malaria
I have been experiencing nausea and chills recently.,Malaria
"Lately, fever has started along with nausea and muscle pain.",Malaria
My nausea and fever are bothering me a lot.,Malaria
"I feel nausea, sweating, and sometimes even fever.",Malaria
I have nausea and also fever.,Malaria
There is fever and it feels like nausea.,Malaria
"Lately, chills has started along with nausea and sweating.",Malaria
"Since yesterday, I have noticed muscle pain, chills, and nausea.",Malaria
"Lately, fever has started along with chills and sweating.",Malaria
There is fever and it feels like muscle pain.,Malaria
I have been experiencing chills and muscle pain recently.,Malaria
My nausea and sweating are bothering me a lot.,Malaria
I have been experiencing chills and muscle pain recently.,Malaria
My nausea and chills are bothering me a lot.,Malaria
"Since yesterday, I have noticed chills, fever, and sweating.",Malaria
There is muscle pain and it feels like chills.,Malaria
My sweating and chills are bothering me a lot.,Malaria
I have muscle pain and also chills.,Malaria
I have been experiencing nausea and fever recently.,Malaria
I have fever and also chills.,Malaria
"Lately, fever has started along with muscle pain and sweating.",Malaria
There is muscle pain and it feels like fever.,Malaria
I have been experiencing nausea and fever recently.,Malaria
I have sweating and also chills.,Malaria
I have been experiencing nausea and fever recently.,Malaria
"Lately, sweating has started along with nausea and muscle pain.",Malaria
"Lately, muscle pain has started along with chills and nausea.",Malaria
There is fever and it feels like muscle pain.,Malaria
I have fever and also sweating.,Malaria
There is chills and it feels like nausea.,Malaria
I have been experiencing muscle pain and fever recently.,Malaria
"Since yesterday, I have noticed muscle pain, nausea, and chills.",Malaria
I have muscle pain and also fever.,Malaria
I have fever and also chills.,Malaria
There is chills and it feels like muscle pain.,Malaria
I have fever and also muscle pain.,Malaria
I have fever and also muscle pain.,Malaria
My muscle pain and sweating are bothering me a lot.,Malaria
"Lately, nausea has started along with fever and sweating.",Malaria
I have been experiencing fever and chills recently.,Malaria
There is chills and it feels like fever.,Malaria
"I feel sweating, fever, and sometimes even muscle pain.",Malaria
There is muscle pain and it feels like fever.,Malaria
"Lately, muscle pain has started along with fever and nausea.",Malaria
I have been experiencing fever and sweating recently.,Malaria
There is fever and it feels like muscle pain.,Malaria
"Since yesterday, I have noticed nausea, chills, and sweating.",Malaria
My chills and muscle pain are bothering me a lot.,Malaria
My fever and chills are bothering me a lot.,Malaria
I have been experiencing sweating and fever recently.,Malaria
My muscle pain and sweating are bothering me a lot.,Malaria
I have been experiencing chills and muscle pain recently.,Malaria
I have muscle pain and also chills.,Malaria
My chills and muscle pain are bothering me a lot.,Malaria
"I feel fever, chills, and sometimes even nausea.",Malaria
I have sweating and also muscle pain.,Malaria
I have nausea and also sweating.,Malaria
"Lately, sweating has started along with nausea and chills.",Malaria
I have been experiencing sweating and nausea recently.,Malaria
There is fever and it feels like nausea.,Malaria
My muscle pain and chills are bothering me a lot.,Malaria
I have chills and also fever.,Malaria
"Since yesterday, I have noticed sweating, chills, and fever.",Malaria
I have been experiencing fever and sweating recently.,Malaria
My chills and nausea are bothering me a lot.,Malaria
"I feel nausea, fever, and sometimes even sweating.",Malaria
My chills and muscle pain are bothering me a lot.,Malaria
My chills and sweating are bothering me a lot.,Malaria
"Since yesterday, I have noticed nausea, chills, and muscle pain.",Malaria
"Lately, nausea has started along with chills and muscle pain.",Malaria
"I feel sweating, fever, and sometimes even chills.",Malaria
I have muscle pain and also chills.,Malaria
There is muscle pain and it feels like sweating.,Malaria
My nausea and muscle pain are bothering me a lot.,Malaria
I have been experiencing nausea and fever recently.,Malaria
"I feel nausea, chills, and sometimes even sweating.",Malaria
"Lately, sweating has started along with chills and muscle pain.",Malaria
"Since yesterday, I have noticed sweating, muscle pain, and fever.",Malaria
I have been experiencing chills and muscle pain recently.,Malaria
There is sweating and it feels like muscle pain.,Malaria
"Since yesterday, I have noticed muscle pain, nausea, and chills.",Malaria
I have been experiencing sweating and nausea recently.,Malaria
There is fever and it feels like chills.,Malaria
My sweating and fever are bothering me a lot.,Malaria
"Lately, fever has started along with muscle pain and chills.",Malaria
My sweating and chills are bothering me a lot.,Malaria
I have fever and also chills.,Malaria
"Since yesterday, I have noticed nausea, muscle pain, and chills.",Malaria
I have chills and also nausea.,Malaria
"Since yesterday, I have noticed fever, muscle pain, and sweating.",Malaria
I have fever and also nausea.,Malaria
I have nausea and also sweating.,Malaria
My sweating and nausea are bothering me a lot.,Malaria
"Lately, sweating has started along with muscle pain and chills.",Malaria
I have been experiencing nausea and fever recently.,Malaria
"I feel fever, chills, and sometimes even muscle pain.",Malaria
"Since yesterday, I have noticed nausea, muscle pain, and chills.",Malaria
I have chills and also muscle pain.,Malaria
There is muscle pain and it feels like sweating.,Malaria
"I feel muscle pain, nausea, and sometimes even fever.",Malaria
"Since yesterday, I have noticed sweating, fever, and muscle pain.",Malaria
I have sweating and also chills.,Malaria
I have fever and also sweating.,Malaria
I have been experiencing muscle pain and nausea recently.,Malaria
"Lately, muscle pain has started along with chills and nausea.",Malaria
I have been experiencing fever and nausea recently.,Malaria
"Since yesterday, I have noticed chills, sweating, and nausea.",Malaria
There is fever and it feels like nausea.,Malaria
"Since yesterday, I have noticed muscle pain, chills, and nausea.",Malaria
I have muscle pain and also fever.,Malaria
"Since yesterday, I have noticed sweating, fever, and muscle pain.",Malaria
I have fever and also itchy rash.,Chicken Pox
"Since yesterday, I have noticed fever, itchy rash, and fatigue.",Chicken Pox
I have itchy rash and also fatigue.,Chicken Pox
There is loss of appetite and it feels like fever.,Chicken Pox
I have been experiencing itchy rash and fatigue recently.,Chicken Pox
My fatigue and fever are bothering me a lot.,Chicken Pox
I have been experiencing fatigue and itchy rash recently.,Chicken Pox
"Lately, fatigue has started along with fever and red spots.",Chicken Pox
I have been experiencing red spots and fever recently.,Chicken Pox
"Since yesterday, I have noticed red spots, fatigue, and loss of appetite.",Chicken Pox
I have fatigue and also red spots.,Chicken Pox
"Since yesterday, I have noticed loss of appetite, fatigue, and fever.",Chicken Pox
There is loss of appetite and it feels like itchy rash.,Chicken Pox
"I feel fever, red spots, and sometimes even loss of appetite.",Chicken Pox
My itchy rash and red spots are bothering me a lot.,Chicken Pox
"Lately, itchy rash has started along with red spots and fever.",Chicken Pox
"I feel fever, fatigue, and sometimes even loss of appetite.",Chicken Pox
I have red spots and also fatigue.,Chicken Pox
There is fever and it feels like red spots.,Chicken Pox
There is red spots and it feels like fever.,Chicken Pox
